"","ns","Value","Name","n_clus","clustering","level"
"2298","7_33",0.988355824526768,"sc3_45-35",45,"sc3_45",35
"2299","7_33",0.837561198844808,"UMAP_KMEANS_35-35",28,"UMAP_KMEANS_35",35
"2300","7_33",0.903610325973945,"UMAP_KMEANS_45-35",40,"UMAP_KMEANS_45",35
"2301","7_33",0.780849880826732,"tSNE_KMEANS_35-35",32,"tSNE_KMEANS_35",35
"2302","7_33",0.86654308946937,"tSNE_KMEANS_40-35",38,"tSNE_KMEANS_40",35
"2303","7_33",0.847342864676509,"tSNE_KMEANS_45-35",40,"tSNE_KMEANS_45",35
"2304","7_33",0.99382217035811,"sc3_40-40",40,"sc3_40",40
"2305","7_33",0.988355824526768,"sc3_45-40",45,"sc3_45",40
"2306","7_33",0.844304615476106,"UMAP_KMEANS_35-40",27,"UMAP_KMEANS_35",40
"2307","7_33",0.919317510440848,"UMAP_KMEANS_45-40",38,"UMAP_KMEANS_45",40
"2308","7_33",0.780849880826732,"tSNE_KMEANS_35-40",32,"tSNE_KMEANS_35",40
"2309","7_33",0.86654308946937,"tSNE_KMEANS_40-40",38,"tSNE_KMEANS_40",40
"2310","7_33",0.847342864676509,"tSNE_KMEANS_45-40",40,"tSNE_KMEANS_45",40
"2311","7_33",0.99382217035811,"sc3_40-45",40,"sc3_40",45
"2312","7_33",0.988355824526768,"sc3_45-45",45,"sc3_45",45
"2313","7_33",0.844304615476106,"UMAP_KMEANS_35-45",27,"UMAP_KMEANS_35",45
"2314","7_33",0.93463043474743,"UMAP_KMEANS_45-45",36,"UMAP_KMEANS_45",45
"2315","7_33",0.780849880826732,"tSNE_KMEANS_35-45",32,"tSNE_KMEANS_35",45
"2316","7_33",0.875567489928444,"tSNE_KMEANS_40-45",37,"tSNE_KMEANS_40",45
"2317","7_33",0.852722024000068,"tSNE_KMEANS_45-45",39,"tSNE_KMEANS_45",45
"2318","7_33",0.99382217035811,"sc3_40-50",40,"sc3_40",50
"2319","7_33",0.988355824526768,"sc3_45-50",45,"sc3_45",50
"2320","7_33",0.844304615476106,"UMAP_KMEANS_35-50",27,"UMAP_KMEANS_35",50
"2321","7_33",0.93463043474743,"UMAP_KMEANS_45-50",36,"UMAP_KMEANS_45",50
"2322","7_33",0.780849880826732,"tSNE_KMEANS_35-50",32,"tSNE_KMEANS_35",50
"2323","7_33",0.88084019195768,"tSNE_KMEANS_40-50",36,"tSNE_KMEANS_40",50
"2324","7_33",0.870821319399939,"tSNE_KMEANS_45-50",37,"tSNE_KMEANS_45",50
"2325","7_33",0.99382217035811,"sc3_40-55",40,"sc3_40",55
"2326","7_33",0.988355824526768,"sc3_45-55",45,"sc3_45",55
"2327","7_33",0.844304615476106,"UMAP_KMEANS_35-55",27,"UMAP_KMEANS_35",55
"2328","7_33",0.93463043474743,"UMAP_KMEANS_45-55",36,"UMAP_KMEANS_45",55
"2329","7_33",0.794877208622735,"tSNE_KMEANS_35-55",30,"tSNE_KMEANS_35",55
"2330","7_33",0.888946773113302,"tSNE_KMEANS_40-55",35,"tSNE_KMEANS_40",55
