"","nCells","param","Value","Name","n_clus","clustering","level"
"268","100","50",0.141187639125311,"sc3-25",50,"sc3",25
"269","100","50",0.302725389695831,"X50-25",49,"X50",25
"270","100","50",0.293433448535991,"X50.1-25",49,"X50.1",25
"271","100","50",0.141187639125311,"sc3-30",50,"sc3",30
"272","100","50",0.302725389695831,"X50-30",49,"X50",30
"273","100","50",0.293433448535991,"X50.1-30",49,"X50.1",30
"274","100","50",0.141187639125311,"sc3-35",50,"sc3",35
"275","100","50",0.302725389695831,"X50-35",49,"X50",35
"276","100","50",0.293433448535991,"X50.1-35",49,"X50.1",35
"277","100","50",0.141187639125311,"sc3-40",50,"sc3",40
"278","100","50",0.302725389695831,"X50-40",49,"X50",40
"279","100","50",0.293433448535991,"X50.1-40",49,"X50.1",40
"280","100","50",0.141187639125311,"sc3-45",50,"sc3",45
"281","100","50",0.315672552534228,"X50-45",48,"X50",45
"282","100","50",0.293433448535991,"X50.1-45",49,"X50.1",45
"283","100","50",0.141187639125311,"sc3-50",50,"sc3",50
"284","100","50",0.334743304992431,"X50-50",47,"X50",50
"285","100","50",0.293433448535991,"X50.1-50",49,"X50.1",50
"286","100","50",0.141187639125311,"sc3-55",50,"sc3",55
"287","100","50",0.334743304992431,"X50-55",47,"X50",55
"288","100","50",0.293433448535991,"X50.1-55",49,"X50.1",55
"289","100","50",0.141187639125311,"sc3-60",50,"sc3",60
"290","100","50",0.334743304992431,"X50-60",47,"X50",60
"291","100","50",0.34419815450411,"X50.1-60",48,"X50.1",60
"292","100","50",0.141187639125311,"sc3-65",50,"sc3",65
"293","100","50",0.334743304992431,"X50-65",47,"X50",65
"294","100","50",0.34419815450411,"X50.1-65",48,"X50.1",65
"295","100","50",0.141187639125311,"sc3-70",50,"sc3",70
"296","100","50",0.334743304992431,"X50-70",47,"X50",70
"297","100","50",0.34419815450411,"X50.1-70",48,"X50.1",70
"298","100","50",0.141187639125311,"sc3-75",50,"sc3",75
"299","100","50",0.334743304992431,"X50-75",47,"X50",75
"300","100","50",0.34419815450411,"X50.1-75",48,"X50.1",75
"301","100","50",0.141187639125311,"sc3-80",50,"sc3",80
"302","100","50",0.347229656865423,"X50-80",46,"X50",80
"303","100","50",0.34419815450411,"X50.1-80",48,"X50.1",80
"304","100","50",0.147586045559552,"sc3-85",49,"sc3",85
"305","100","50",0.347229656865423,"X50-85",46,"X50",85
"306","100","50",0.34419815450411,"X50.1-85",48,"X50.1",85
"307","100","50",0.147586045559552,"sc3-90",49,"sc3",90
"308","100","50",0.347229656865423,"X50-90",46,"X50",90
"309","100","50",0.34419815450411,"X50.1-90",48,"X50.1",90
"310","100","50",0.147586045559552,"sc3-95",49,"sc3",95
"311","100","50",0.395437504646396,"X50-95",45,"X50",95
"312","100","50",0.34419815450411,"X50.1-95",48,"X50.1",95
"313","100","50",0.142624232485412,"sc3-100",47,"sc3",100
"314","100","50",0.395437504646396,"X50-100",45,"X50",100
"315","100","50",0.34419815450411,"X50.1-100",48,"X50.1",100
"316","150","30",0.355039105215288,"sc3-00",30,"sc3",0
"317","150","30",0.560379908190557,"X30-00",30,"X30",0
"318","150","30",0.498174442696711,"X30.1-00",30,"X30.1",0
"319","150","30",0.355039105215288,"sc3-05",30,"sc3",5
"320","150","30",0.601957082725865,"X30-05",29,"X30",5
"321","150","30",0.498174442696711,"X30.1-05",30,"X30.1",5
"322","150","30",0.355039105215288,"sc3-10",30,"sc3",10
"323","150","30",0.601957082725865,"X30-10",29,"X30",10
