"","sim","param","Value","Name","n_clus","clustering","level"
"X40-30...227","Dataset_1","3_0.2",0.802843136789656,"X40-30",38,"X40",30
"X40.1-30...228","Dataset_1","3_0.2",0.827116820819162,"X40.1-30",28,"X40.1",30
"random_1-30...229","Dataset_1","3_0.2",0.53601872718949,"random_1-30",31,"random_1",30
"random_2-30...230","Dataset_1","3_0.2",0.508820451118412,"random_2-30",36,"random_2",30
"random_3-30...231","Dataset_1","3_0.2",0.601481735349489,"random_3-30",45,"random_3",30
"sc3-35...232","Dataset_1","3_0.2",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...233","Dataset_1","3_0.2",0.802843136789656,"X40-35",38,"X40",35
"X40.1-35...234","Dataset_1","3_0.2",0.861994514953436,"X40.1-35",24,"X40.1",35
"random_1-35...235","Dataset_1","3_0.2",0.54440568131315,"random_1-35",30,"random_1",35
"random_2-35...236","Dataset_1","3_0.2",0.508820451118412,"random_2-35",36,"random_2",35
"random_3-35...237","Dataset_1","3_0.2",0.601481735349489,"random_3-35",45,"random_3",35
"sc3-40...238","Dataset_1","3_0.2",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...239","Dataset_1","3_0.2",0.802843136789656,"X40-40",38,"X40",40
"X40.1-40...240","Dataset_1","3_0.2",0.895950301673984,"X40.1-40",20,"X40.1",40
"random_1-40...241","Dataset_1","3_0.2",0.553347518297525,"random_1-40",29,"random_1",40
"random_2-40...242","Dataset_1","3_0.2",0.508820451118412,"random_2-40",36,"random_2",40
"random_3-40...243","Dataset_1","3_0.2",0.601481735349489,"random_3-40",45,"random_3",40
"sc3-45...244","Dataset_1","3_0.2",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...245","Dataset_1","3_0.2",0.81593488047721,"X40-45",36,"X40",45
"X40.1-45...246","Dataset_1","3_0.2",0.895950301673984,"X40.1-45",20,"X40.1",45
"random_1-45...247","Dataset_1","3_0.2",0.553347518297525,"random_1-45",29,"random_1",45
"random_2-45...248","Dataset_1","3_0.2",0.520357181498005,"random_2-45",33,"random_2",45
"random_3-45...249","Dataset_1","3_0.2",0.601481735349489,"random_3-45",45,"random_3",45
"sc3-50...250","Dataset_1","3_0.2",0.959263380682416,"sc3-50",40,"sc3",50
"X40-50...251","Dataset_1","3_0.2",0.826301402385859,"X40-50",35,"X40",50
"X40.1-50...252","Dataset_1","3_0.2",0.895950301673984,"X40.1-50",20,"X40.1",50
