"","param","Value","Name","n_clus","clustering","level"
"247","45",0.990631842506328,"sc3-95",43,"sc3",95
"248","45",0.96918640651212,"UMAP_KMEANS-95",29,"UMAP_KMEANS",95
"249","45",0.919385436764821,"tSNE_KMEANS-95",28,"tSNE_KMEANS",95
"250","45",0.996427417335064,"sc3-100",31,"sc3",100
"251","45",0.96918640651212,"UMAP_KMEANS-100",29,"UMAP_KMEANS",100
"252","45",0.919385436764821,"tSNE_KMEANS-100",28,"tSNE_KMEANS",100
"253","50",0.984199833647163,"sc3-00",50,"sc3",0
"254","50",0.81745716181529,"UMAP_KMEANS-00",50,"UMAP_KMEANS",0
"255","50",0.825014870526235,"tSNE_KMEANS-00",50,"tSNE_KMEANS",0
"256","50",0.984199833647163,"sc3-05",50,"sc3",5
"257","50",0.831025238106032,"UMAP_KMEANS-05",49,"UMAP_KMEANS",5
"258","50",0.837568719851521,"tSNE_KMEANS-05",49,"tSNE_KMEANS",5
"259","50",0.984199833647163,"sc3-10",50,"sc3",10
"260","50",0.854779298644011,"UMAP_KMEANS-10",47,"UMAP_KMEANS",10
"261","50",0.837568719851521,"tSNE_KMEANS-10",49,"tSNE_KMEANS",10
"262","50",0.984199833647163,"sc3-15",50,"sc3",15
"263","50",0.854779298644011,"UMAP_KMEANS-15",47,"UMAP_KMEANS",15
"264","50",0.858623202606133,"tSNE_KMEANS-15",47,"tSNE_KMEANS",15
"265","50",0.984199833647163,"sc3-20",50,"sc3",20
"266","50",0.854779298644011,"UMAP_KMEANS-20",47,"UMAP_KMEANS",20
"267","50",0.877660970591974,"tSNE_KMEANS-20",45,"tSNE_KMEANS",20
"268","50",0.984199833647163,"sc3-25",50,"sc3",25
"269","50",0.873751390400546,"UMAP_KMEANS-25",45,"UMAP_KMEANS",25
"270","50",0.877660970591974,"tSNE_KMEANS-25",45,"tSNE_KMEANS",25
"271","50",0.984199833647163,"sc3-30",50,"sc3",30
"272","50",0.873751390400546,"UMAP_KMEANS-30",45,"UMAP_KMEANS",30
"273","50",0.895342366285199,"tSNE_KMEANS-30",43,"tSNE_KMEANS",30
"274","50",0.984199833647163,"sc3-35",50,"sc3",35
"275","50",0.89074283490169,"UMAP_KMEANS-35",43,"UMAP_KMEANS",35
"276","50",0.895342366285199,"tSNE_KMEANS-35",43,"tSNE_KMEANS",35
"277","50",0.984199833647163,"sc3-40",50,"sc3",40
"278","50",0.90475968343343,"UMAP_KMEANS-40",41,"UMAP_KMEANS",40
"279","50",0.906527206278625,"tSNE_KMEANS-40",42,"tSNE_KMEANS",40
