9,1,7,9,19,6,13,"Cell225"
12,8,18,3,26,20,1,"Cell226"
4,5,4,16,29,20,24,"Cell227"
8,7,3,25,1,37,46,"Cell228"
12,25,6,7,5,9,14,"Cell229"
6,21,2,22,11,18,35,"Cell230"
3,18,29,35,13,2,19,"Cell231"
2,20,9,17,16,19,8,"Cell232"
5,11,1,17,16,1,3,"Cell233"
10,13,14,29,17,39,30,"Cell234"
19,15,28,11,38,10,40,"Cell235"
18,19,25,27,2,24,34,"Cell236"
5,11,1,11,16,10,40,"Cell237"
8,19,3,25,28,37,18,"Cell238"
14,25,6,21,5,9,14,"Cell239"
11,2,9,2,2,41,3,"Cell240"
2,20,9,2,35,7,11,"Cell241"
19,15,28,12,38,10,40,"Cell242"
11,2,10,35,25,2,38,"Cell243"
20,22,27,26,27,35,22,"Cell244"
5,11,1,34,24,28,15,"Cell245"
13,16,17,24,31,29,6,"Cell246"
13,4,17,24,18,29,4,"Cell247"
16,23,17,32,21,29,23,"Cell248"
4,5,12,13,3,36,26,"Cell249"
16,16,17,24,31,42,6,"Cell250"
6,12,22,5,14,16,23,"Cell251"
15,9,13,15,39,21,42,"Cell252"
3,18,29,14,40,45,9,"Cell253"
9,21,21,10,4,38,49,"Cell254"
5,12,22,5,16,1,3,"Cell255"
3,18,29,35,25,44,38,"Cell257"
12,8,18,3,10,4,39,"Cell258"
11,2,10,34,24,41,41,"Cell259"
9,13,12,13,8,15,30,"Cell260"
13,23,17,32,15,29,5,"Cell261"
11,6,10,34,24,28,41,"Cell262"
15,9,13,15,39,21,42,"Cell263"
20,22,27,26,40,34,9,"Cell264"
12,8,18,3,7,20,1,"Cell265"
2,20,9,17,35,19,12,"Cell266"
11,2,10,30,25,12,37,"Cell267"
1,10,15,1,34,40,44,"Cell268"
14,21,21,10,4,22,12,"Cell269"
12,8,18,8,7,11,1,"Cell270"
2,20,9,17,35,7,11,"Cell271"
6,21,30,10,36,8,49,"Cell272"
